,0,1,2,3
49,0.017734503,-0.9866913,0.15724318,-0.057102125
50,-0.03711054,-0.9972611,0.06752509,0.01981683
51,-0.08673458,-0.9897169,-0.016256316,0.10387928
52,-0.13467683,-0.96727103,-0.10523436,0.19021472
53,-0.17668456,-0.92511153,-0.18018416,0.28244442
54,-0.21220826,-0.86900485,-0.2502747,0.3705783
55,-0.23968704,-0.8000116,-0.30490237,0.46061078
56,-0.26184508,-0.7142176,-0.35051912,0.5470357
57,-0.27348882,-0.6197317,-0.38663897,0.6268075
58,-0.27190006,-0.5140482,-0.4087054,0.7032912
59,-0.25832242,-0.4033791,-0.4240576,0.7691703
60,-0.23393433,-0.28518608,-0.42927083,0.8230101
61,-0.20179099,-0.16872254,-0.42064276,0.8685858
62,-0.15437898,-0.048734993,-0.4094047,0.8970514
63,-0.10024024,0.06675753,-0.38765523,0.9152807
64,-0.03451466,0.17876072,-0.3609281,0.9141694
65,0.038095947,0.28334972,-0.32746333,0.9031129
66,0.117533125,0.37908998,-0.28878346,0.8744672
67,0.2016307,0.4616876,-0.24972287,0.8284749
68,0.28822824,0.5330921,-0.21395385,0.7679012
69,0.3734413,0.5881999,-0.17427427,0.695798
70,0.4566779,0.6337752,-0.13636081,0.60844153
71,0.5393135,0.66073585,-0.10065636,0.51187104
72,0.61557895,0.6749171,-0.07205285,0.40285337
73,0.6827015,0.67086965,-0.0553036,0.28584716
74,0.7390747,0.6533584,-0.03907013,0.16396038
75,0.78173965,0.6226005,-0.025941508,0.039458577
76,0.8097378,0.5794752,-0.032337107,-0.08597191
77,0.823283,0.5269957,-0.041539736,-0.2059167
78,0.82143104,0.46548012,-0.06354351,-0.32115158
79,0.8044431,0.3977109,-0.090971485,-0.4302916
80,0.7716645,0.32823992,-0.12494364,-0.5312296
81,0.71964735,0.25587928,-0.15872644,-0.6241718
82,0.6540746,0.18089445,-0.19563724,-0.70794356
83,0.57484466,0.10863967,-0.23668824,-0.77629715
84,0.4819025,0.04296287,-0.27390304,-0.82959455
85,0.38037375,-0.014604915,-0.3117907,-0.8688995
86,0.26624686,-0.0770301,-0.34760028,-0.8956387
87,0.14754754,-0.119917974,-0.3792925,-0.9055761
88,0.020390343,-0.15780963,-0.40459678,-0.9002623
89,-0.10716021,-0.18189916,-0.42149073,-0.8818151
90,-0.23457743,-0.19935785,-0.43000647,-0.84978694
91,-0.361733,-0.20324402,-0.43425584,-0.7993937
92,-0.4796744,-0.19905354,-0.42116085,-0.74403405
93,-0.59156823,-0.17992218,-0.40143135,-0.6747243
94,-0.6906432,-0.15537564,-0.37422073,-0.59809273
95,-0.78048563,-0.1247808,-0.3355642,-0.5107437
96,-0.85536176,-0.08426319,-0.28716245,-0.42004222
97,-0.91764843,-0.033172604,-0.22583725,-0.32738602
